Sort algorithm time record(Millisecond):,,,,,,,,,,,
Data size,mergeSort,mergeSortNotOpt,radixSort,sort(STL),quickSort,quickStNotOpt,heapSort,shellSort,insertionSort,bubbleSort,selectionSort
11500,0.556,0.5797,1.1487,0.5824,0.609,0.7705,1.116,0.9315,20.0153,,
11600,0.5586,0.682,0.8994,0.5683,0.5734,0.7599,1.2395,1.057,19.189,,
11700,0.4796,0.6132,0.8168,0.5777,0.5863,0.7283,1.2068,1.0437,18.5485,,
11800,0.584,0.4918,1.0353,0.5749,0.5573,0.8168,1.2459,1.0336,19.0781,,
11900,0.4638,0.568,0.8303,0.6231,0.5853,0.7145,1.1962,0.8865,20.1271,,
12000,0.4385,0.5311,0.8226,0.5475,0.6113,0.7187,1.0888,1.0064,22.1516,,
12100,0.5204,0.5039,0.8561,0.6732,0.7189,0.7308,1.0834,0.9003,20.9817,,
12200,0.5646,0.5812,0.8496,0.5885,0.5784,0.721,1.1605,1.2251,21.2777,,
12300,0.4872,0.54,0.9494,0.8068,0.709,0.7772,1.1096,0.9202,21.1129,,
12400,0.56,0.5575,0.8539,0.6224,0.6469,0.842,1.2444,0.9894,21.4371,,
12500,0.5557,0.676,0.8769,0.6222,0.6774,0.7826,1.2332,1.022,21.74,,
12600,0.5068,0.5358,0.9472,0.9137,0.8432,0.8283,1.4895,1.0789,21.6549,,
12700,0.5304,0.5856,0.8706,0.5893,0.6933,0.8326,1.1738,0.9962,26.3072,,
12800,0.469,0.5502,1.1196,0.8004,0.7148,0.8656,1.2866,1.0564,23.6793,,
12900,0.5765,0.7178,1.3064,0.627,0.6261,0.9483,1.2089,1.1033,23.1863,,
13000,0.6734,0.6508,0.8876,0.6018,0.6264,0.8269,1.2803,1.1471,25.3813,,
13100,0.6168,0.6339,1.1051,0.6333,0.6435,0.8065,1.2256,1.0212,23.5389,,
13200,0.6616,0.661,0.9378,0.8194,0.899,1.0889,1.6279,1.0511,24.4113,,
13300,0.5433,0.5617,1.0397,0.8877,0.8263,1.0224,1.2592,1.0183,26.6256,,
13400,0.5262,0.5606,0.9365,0.654,0.7074,0.8825,1.3338,1.1525,25.8563,,
13500,0.6014,0.6344,0.9945,0.8012,0.6793,0.9666,1.4339,1.3211,26.1912,,
13600,0.5476,0.6371,0.9632,0.7231,0.7405,0.9139,1.3552,1.0336,26.7252,,
13700,0.5027,0.641,0.9203,0.6724,0.6727,0.8723,1.2761,1.1832,26.9877,,
13800,0.5933,0.7072,0.9954,0.7342,0.7271,0.9723,1.3741,1.1532,27.4135,,
13900,0.6233,0.5849,0.9332,0.6709,0.6514,1.0509,1.6979,1.7082,29.2166,,
14000,0.578,0.6557,1.0201,0.8154,0.8269,0.8569,1.3838,1.0745,28.8081,,
14100,0.5746,0.6079,0.9898,0.7401,0.7129,1.1378,1.4221,1.2039,29.2698,,
14200,0.5481,0.6096,0.9154,0.6828,0.6932,0.9169,1.3273,1.1708,28.8603,,
14300,0.528,0.6333,0.982,0.7076,0.6768,1.0082,1.5095,1.2298,29.6425,,
14400,0.5767,0.705,0.9785,0.7763,0.6832,0.9489,1.5162,1.1548,30.9295,,
14500,0.5573,0.6276,1.0884,0.6931,0.6992,0.9639,1.3492,1.2536,29.6328,,
14600,0.5613,0.71,1.0724,0.723,0.6745,1.0564,1.5388,1.2547,30.3401,,
14700,0.5848,0.6567,1.2008,0.8592,0.7981,0.9599,1.3135,1.4343,30.2002,,
14800,0.6815,0.7334,1.0548,0.7641,0.7302,0.9402,1.502,1.433,31.2213,,
14900,0.9015,0.6684,1.3524,0.8594,0.9414,0.9364,1.4924,1.2331,32.243,,
15000,0.5734,0.7062,0.9762,0.6994,0.745,0.9433,1.3704,1.1899,32.6212,,
15100,0.5951,0.7669,1.1097,1.0438,0.7648,1.078,1.7915,1.2582,32.1404,,
15200,0.6237,0.6811,1.2123,0.7912,0.748,0.9778,1.4408,1.3046,32.5149,,
15300,1.029,0.6823,1.1633,0.7728,0.788,0.9761,1.6397,1.5229,32.5341,,
15400,0.776,0.7706,1.3634,0.9582,0.8992,1.1559,1.6339,1.6906,38.4487,,
15500,0.7825,0.7279,1.0441,0.761,0.7255,0.9802,1.418,1.275,34.1434,,
15600,0.6508,0.7057,1.062,0.7328,0.8663,0.9967,1.4456,1.2468,35.1257,,
15700,0.708,0.7281,1.1806,0.9754,0.7885,1.1838,1.641,1.2535,35.7622,,
15800,0.8711,0.7869,1.32,0.7822,0.7966,1.086,1.5562,1.4071,35.3969,,
15900,0.6454,0.7272,1.123,0.8971,0.7815,1.2207,1.7794,1.377,36.3906,,
16000,0.6607,0.7946,1.2308,0.9551,0.9544,1.3027,1.6667,1.4216,41.8769,,
16100,0.7698,0.8786,1.3327,0.9486,0.9965,1.3499,1.864,1.506,41.1263,,
16200,0.8202,0.8997,1.3938,1.0093,1.0599,1.2831,1.9512,1.6163,42.876,,
16300,0.8213,0.9073,1.2843,0.981,0.8198,1.6944,2.0856,1.5666,42.6307,,
16400,0.7279,0.8742,1.449,0.9405,0.8663,1.3135,2.0381,1.5182,40.5927,,
16500,0.624,0.9496,1.2516,0.9893,0.8125,1.0428,1.5545,1.4627,40.9728,,
16600,0.6413,0.8522,1.1356,0.8804,0.9685,1.0831,1.6291,1.4148,40.0244,,
16700,0.8425,0.9743,1.4597,0.8399,0.9669,1.1557,1.9318,1.359,44.6791,,
16800,0.6424,0.7398,1.1663,0.8012,0.8212,1.0956,1.5854,1.3194,41.4108,,
16900,0.9148,1.0391,1.3452,1.0812,0.8124,1.0809,1.7711,1.4463,42.7433,,
17000,0.6845,0.7935,1.347,0.9064,0.9998,1.488,1.8316,1.5302,48.477,,
17100,0.7993,0.934,1.3709,1.1282,1.0468,1.273,1.9734,1.6493,44.928,,
17200,0.6797,0.9016,1.3869,0.9928,0.8628,1.2727,1.8086,1.8276,43.8403,,
17300,0.8066,0.7667,1.1913,0.8995,0.8996,1.2148,2.0595,1.3686,39.6567,,
17400,0.7059,0.8964,1.7513,0.8588,0.92,1.1549,1.6556,1.5153,44.1807,,
17500,0.7828,0.8997,1.2824,0.9314,0.9781,1.3146,1.7597,1.567,44.6781,,
17600,0.6748,0.8402,1.1783,1.0971,1.0899,1.1129,1.6493,1.4035,45.9038,,
17700,0.7065,0.7941,1.2245,0.8775,0.9986,1.1906,1.8797,1.5293,44.9943,,
17800,0.7076,0.963,1.386,0.9,0.9392,1.2437,1.713,1.499,54.8954,,
17900,0.9384,1.0195,1.4698,0.9459,0.922,1.159,1.7961,1.5073,,,
18000,0.7995,0.8025,1.2898,0.9185,1.0272,1.394,1.8325,1.4883,,,
18100,0.6976,0.8703,1.2727,0.9113,0.9636,1.1942,1.8518,1.6199,,,
18200,0.6775,1.2407,1.7898,1.0942,1.1659,1.5761,2.2389,1.7792,,,
18300,0.7432,0.8146,1.2469,0.901,0.9088,1.243,1.8317,1.4644,,,
18400,0.7145,0.9643,1.3275,0.9358,1.0176,1.2303,1.8297,1.6204,,,
18500,0.8323,0.939,1.3538,0.9302,0.9721,1.1793,1.9635,1.7663,,,
18600,0.7707,0.942,1.6213,0.9746,1.0504,1.3699,2.0868,1.6403,,,
18700,0.7406,0.9271,1.3819,1.0499,0.948,1.2803,2.0008,1.5932,,,
18800,0.7396,0.8184,1.404,0.9206,0.9577,1.5484,1.9015,1.4323,,,
18900,0.7468,0.9613,1.4636,1.0964,1.1495,1.2711,2.0623,1.5029,,,
19000,0.8163,0.8805,1.458,1.0873,0.9425,1.4461,2.2785,1.6746,,,
19100,0.7682,1.0136,1.3956,1.0528,1.0974,1.4578,1.9451,1.7404,,,
19200,0.7635,0.9275,1.4072,1.038,1.042,1.2427,1.9912,1.6356,,,
19300,0.7813,0.9887,1.6252,1.0964,1.1764,1.3462,2.0338,1.6181,,,
19400,0.7964,0.8535,1.3221,0.9828,1.0516,1.3156,2.1148,1.8861,,,
19500,1.1894,1.0735,1.6892,1.1006,0.9822,1.3737,2.1551,1.6154,,,
19600,0.9954,0.9788,1.3736,1.1753,1.0315,1.5458,2.1489,1.7895,,,
19700,0.936,1.0387,1.4078,0.9758,1.0031,1.4642,2.0311,1.7326,,,
19800,0.882,0.8977,1.3255,0.9944,0.9773,1.3431,2.0556,1.5732,,,
19900,1.0362,1.3222,1.8195,1.2494,1.2549,1.4315,2.6697,2.3252,,,
20000,0.8182,1.0241,1.5042,1.2238,1.718,1.7923,1.8839,1.5933,,,
20100,0.8258,0.9301,1.3966,1.0222,1.5266,1.5038,2.1042,1.7194,,,
20200,0.9613,0.8749,1.7929,1.2876,1.4679,1.577,2.6383,2.1806,,,
20300,1.0429,1.0027,1.3765,1.0615,1.0393,1.3452,2.19,2.0227,,,
20400,0.8515,0.9932,1.6778,1.0606,1.042,1.3232,1.9179,1.7687,,,
20500,0.9185,1.1718,1.5486,1.2874,1.254,1.354,2.1574,1.703,,,
20600,0.9018,0.9625,1.4652,1.2896,1.194,1.3893,2.3196,2.2283,,,
20700,1.0334,0.9602,1.738,1.2074,1.0342,1.3772,2.1242,2.1046,,,
20800,0.9465,1.1394,1.6151,1.0388,1.0486,1.3538,2.4959,1.926,,,
20900,0.9616,1.0812,1.5617,1.1941,1.0928,1.5634,2.1591,2.029,,,
21000,1.1164,1.012,1.506,1.136,1.1674,1.4806,2.2957,2.1108,,,
21100,0.8169,0.9203,1.4362,1.0425,1.0416,1.3475,2.7278,1.9755,,,
21200,1.0279,1.0422,1.4698,1.2939,1.1706,1.6001,2.1671,1.8212,,,
21300,0.9823,0.9943,1.4626,1.3256,1.2749,1.4426,2.2685,1.8125,,,
21400,1.0004,1.0531,1.7604,1.385,1.0894,1.4498,2.1567,2.1101,,,
21500,0.9613,1.0277,1.6235,1.1163,1.1486,1.4866,2.2568,2.0517,,,
21600,1.0234,1.2184,1.6182,1.1136,1.0608,1.5042,2.3345,1.9068,,,
21700,1.0076,1.0058,1.6557,1.1338,1.1444,1.3896,2.2343,1.8807,,,
21800,1.0416,1.001,1.5532,1.1261,1.1954,1.516,2.0877,2.189,,,
21900,0.8665,1.0586,1.5873,1.1376,1.0942,1.4843,2.4126,1.864,,,
22000,0.8949,1.0047,1.5248,1.1381,1.1049,1.5243,2.529,1.8372,,,
22100,0.8908,1.0054,1.5064,1.1359,1.1482,1.5956,2.4275,1.9081,,,
22200,0.8627,1.0494,1.7604,1.4598,1.2531,1.6427,2.8708,2.4939,,,
22300,1.0142,1.3721,1.6332,1.3682,1.2912,1.7741,2.584,2.0353,,,
22400,1.2096,1.1814,1.6354,1.2543,1.341,1.8999,2.5076,1.9785,,,
22500,0.9376,1.3103,1.7346,1.4392,1.226,1.6637,2.759,2.0927,,,
22600,1.0313,1.0352,1.8231,1.2024,1.191,1.8651,2.7512,2.0003,,,
22700,1.1068,1.2577,2.0194,1.5224,1.3652,1.9176,2.4529,2.1783,,,
22800,1.0399,1.1592,1.701,1.1749,1.1967,1.7779,2.5743,2.0161,,,
22900,1.2298,1.0468,1.6693,1.3556,1.585,1.8215,2.3232,2.0866,,,
